Logradouro,Bairro,CEP,Localidade,UF
Avenida João Simon Solla,Centro,18440-001,Itaberá,SP
Rua Dom Pedro I,Centro,18440-003,Itaberá,SP
Rua Luis Toledo,Centro,18440-005,Itaberá,SP
Rua Francisco Antônio da Silva,Centro,18440-007,Itaberá,SP
Rua Josephina Silva de Mello,Centro,18440-009,Itaberá,SP
Rua Coronel Acácio Piedade,Centro,18440-010,Itaberá,SP
Rua Adolfo Barra,Centro,18440-011,Itaberá,SP
Rua Josias Cardoso,Centro,18440-013,Itaberá,SP
Rua Coronel José Pedro de Lima,Centro,18440-015,Itaberá,SP
Rua Nove de Julho,Centro,18440-017,Itaberá,SP
Rua Lavrinhas,Centro,18440-019,Itaberá,SP
Rua Ângelo Valcazara,Centro,18440-021,Itaberá,SP
Rua 7 de Setembro,Centro,18440-023,Itaberá,SP
Rua Coronel Venâncio,Centro,18440-025,Itaberá,SP
Rua Antônio Rodrigues de Freitas,Centro,18440-027,Itaberá,SP
Rua XV de Novembro,Centro,18440-029,Itaberá,SP
Rua Coronel Amantino,Centro,18440-031,Itaberá,SP
Avenida Prefeito Carlos Rodrigues dos Santos,Centro,18440-033,Itaberá,SP
Avenida Servilhano Silva,Centro,18440-035,Itaberá,SP
Rua 13 de Maio,Centro,18440-037,Itaberá,SP
Rua Doutor Antônio Prado,Centro,18440-039,Itaberá,SP
Rua Tiradentes,Centro,18440-041,Itaberá,SP
Rua São Pedro,Centro,18440-043,Itaberá,SP
Rua Antônio Joaquim Diniz,Centro,18440-045,Itaberá,SP
Rua Dito Cachanga,Barra Funda,18440-050,Itaberá,SP
Rua Domingos Jorge Velho,Vila Bandeirantes,18440-060,Itaberá,SP
Rua Conde Sarzedas,Vila Bandeirantes,18440-062,Itaberá,SP
Rua Bras Cubas,Vila Bandeirantes,18440-064,Itaberá,SP
Rua Afonso Sardinha,Vila Bandeirantes,18440-066,Itaberá,SP
Rua Alexandre Gusmão,Vila Bandeirantes,18440-068,Itaberá,SP
Rua João Ramalho,Vila Bandeirantes,18440-070,Itaberá,SP
Rua Duarte Coelho,Vila Bandeirantes,18440-072,Itaberá,SP
Rua Fernão Dias Paes Lemes,Vila Bandeirantes,18440-074,Itaberá,SP
Rua Raposo Tavares,Vila Bandeirantes,18440-076,Itaberá,SP
Rua Anhanguera,Vila Bandeirantes,18440-078,Itaberá,SP
Rua Borba Gato,Vila Bandeirantes,18440-080,Itaberá,SP
Rua Borba Gato,Jardim São Luiz,18440-090,Itaberá,SP
Rua Domingos Jorge Velho,Jardim São Luiz,18440-092,Itaberá,SP
Rua Oito de Abril,Jardim São Luiz,18440-094,Itaberá,SP
Rua Conde Sarzedas,Jardim São Luiz,18440-096,Itaberá,SP
Rua 19 de Março,Jardim São Luiz,18440-098,Itaberá,SP
Rua Bras Cubas,Jardim São Luiz,18440-100,Itaberá,SP
Rua Afonso Sardinha,Jardim São Luiz,18440-102,Itaberá,SP
Avenida Servilhano Silva,Jardim São Luiz,18440-104,Itaberá,SP
Avenida Servilhano Silva,Jardim Rossi,18440-110,Itaberá,SP
Rua Juvenal Furquim de Almeida,Jardim Rossi,18440-112,Itaberá,SP
Rua Ettore Rossi,Jardim Rossi,18440-114,Itaberá,SP
Rua Francelino Leite,Jardim Rossi,18440-116,Itaberá,SP
Rua Marina Geralda Gonzales,Jardim Rossi,18440-118,Itaberá,SP
Avenida Iacopino Rossi,Jardim Rossi,18440-120,Itaberá,SP
Rua Luiz Batista de Paula,Jardim Rossi,18440-122,Itaberá,SP
Rua Florêncio de Souza,Jardim Rossi,18440-124,Itaberá,SP
Avenida Silvério Morato de Almeida,Vila Esperança,18440-150,Itaberá,SP
Rua Padre Bento Dias Pacheco,Vila Esperança,18440-152,Itaberá,SP
Rua Cruzeiro,Vila Esperança,18440-154,Itaberá,SP
Rua Olavo Bilac,Vila Esperança,18440-156,Itaberá,SP
Travessa Bento Manoel do Prado,Vila Esperança,18440-162,Itaberá,SP
Rua Padre Miguel Piller,Vila Esperança,18440-164,Itaberá,SP
Rua Waldemar Felipe,Vila Esperança,18440-166,Itaberá,SP
Rua Agenor Gomes,Vila Esperança,18440-168,Itaberá,SP
Rua Padre Miguel Piller,Vila Cruzeiro,18440-170,Itaberá,SP
Rua Cruzeiro,Vila Cruzeiro,18440-172,Itaberá,SP
Rua Santo Antônio,Vila Cruzeiro,18440-174,Itaberá,SP
Rua Professora Tereza Pignagrande Oliveira,Vila Cruzeiro,18440-176,Itaberá,SP
Rua Gabriel Gomes,Vila Cruzeiro,18440-178,Itaberá,SP
Rua São Joaquim,Vila Cruzeiro,18440-180,Itaberá,SP
Rua José Gonçalves de Macedo,Vila Cruzeiro,18440-182,Itaberá,SP
Rua Nhá Quima,Vila Cruzeiro,18440-184,Itaberá,SP
Rua Coronel José Pedro de Lima,Vila Cruzeiro,18440-186,Itaberá,SP
Rua Antônia Camargo Duarte,Vila Cruzeiro,18440-188,Itaberá,SP
Rua Coronel José Pedro de Lima,Jardim Carolina,18440-190,Itaberá,SP
Rua Antônio José Esteves,Jardim Carolina,18440-192,Itaberá,SP
Rua Joaquim Caetano da Rosa,Jardim Carolina,18440-194,Itaberá,SP
Rua José de Fázio Gomes,Jardim Carolina,18440-196,Itaberá,SP
Rua Erotides Gonçalves de Almeida,Jardim Carolina,18440-198,Itaberá,SP
Rua Moyses Olympio de Freitas,Jardim Carolina,18440-200,Itaberá,SP
Rua José Gonçalves de Macedo,Jardim Carolina,18440-202,Itaberá,SP
Rua Nhá Quima,Jardim Carolina,18440-204,Itaberá,SP
Rua Ari Cardoso,Jardim Carolina,18440-206,Itaberá,SP
Rua José Nicolau Tortelli,Jardim Carolina,18440-208,Itaberá,SP
Rua Chico Menino,Vila Santa Maria,18440-210,Itaberá,SP
Avenida João Simon Solla,Jardim Santa Ines IV,18443-000,Itaberá,SP
Rua José Alves,Jardim Santa Ines IV,18443-002,Itaberá,SP
Rua Francisco de Oliveira Almeida,Jardim Santa Ines IV,18443-004,Itaberá,SP
Rua Osório Mafaldo Couto,Jardim Santa Ines IV,18443-006,Itaberá,SP
Avenida João Simon Solla,Jardim Santa Ines III,18443-010,Itaberá,SP
Rua Antônio Rodrigues de Freitas,Jardim Santa Ines III,18443-012,Itaberá,SP
Rua Liberalino Alves Freire,Jardim Santa Ines III,18443-014,Itaberá,SP
Rua Antônio da Veiga e Souza,Jardim Santa Ines III,18443-016,Itaberá,SP
Rua João Batista da Cruz,Jardim Santa Ines III,18443-018,Itaberá,SP
Rua Salvador Rodrigues de Almeida,Jardim Santa Ines III,18443-020,Itaberá,SP
Avenida Átila Walter de Oliveira,Jardim Santa Ines III,18443-024,Itaberá,SP
Rua Alceu Nogueira,Jardim Santa Ines III,18443-025,Itaberá,SP
Avenida Átila Walter de Oliveira,Jardim Santa Ines II,18443-030,Itaberá,SP
Rua Padre Manuel Joaquim Rodrigues,Jardim Santa Ines II,18443-032,Itaberá,SP
Rua Doutor Eliseu Veloso Ramos,Jardim Santa Ines II,18443-034,Itaberá,SP
Rua Lucrécia de Lima Amaral,Jardim Santa Ines II,18443-036,Itaberá,SP
Rua Aparício Ferraz de Camargo,Jardim Santa Ines II,18443-038,Itaberá,SP
Avenida João Simon Solla,Jardim Santa Ines II,18443-040,Itaberá,SP
Avenida João Simon Solla,Jardim Santa Ines I,18443-050,Itaberá,SP
Rua Jango de Lima,Jardim Santa Ines I,18443-052,Itaberá,SP
Rua Prefeito Alfredo de Oliveira,Jardim Santa Ines I,18443-054,Itaberá,SP
Rua Jácomo Falsarella,Jardim Santa Ines I,18443-056,Itaberá,SP
Rua Doutor Barbosa,Jardim Santa Ines I,18443-058,Itaberá,SP
Rua Francisco Proença,Jardim Santa Ines I,18443-060,Itaberá,SP
Rua João Português,Jardim Santa Ines I,18443-062,Itaberá,SP
Rua Tonico Saturnino,Jardim Santa Ines I,18443-064,Itaberá,SP
Rua Jango Ferraz,Jardim Santa Ines I,18443-066,Itaberá,SP
Rua Maurício Pereira de Almeida,Jardim Santa Ines I,18443-068,Itaberá,SP
Rua Joaquim Flaviano de Lima,Jardim Santa Ines I,18443-070,Itaberá,SP
Rua José Cilico Gonçalves,Jardim Santa Ines V,18443-080,Itaberá,SP
Rua Antônio Cirino de Mello,Jardim Santa Ines V,18443-082,Itaberá,SP
Rua das Margaridas,Jardim Santa Ines V,18443-084,Itaberá,SP
Rua Caetano Ferreira Neto,Jardim Santa Ines V,18443-086,Itaberá,SP
Rua Napoleão Gomes,Jardim Santa Ines V,18443-088,Itaberá,SP
Rua Eleutério Rodrigues de Lima,Jardim Santa Ines V,18443-090,Itaberá,SP
Rua Eleutério Rodrigues de Lima,Jardim Santa Ines VI,18443-100,Itaberá,SP
Rua Caetano Ferreira Neto,Jardim Santa Ines VI,18443-102,Itaberá,SP
Rua Napoleão Gomes,Jardim Santa Ines VI,18443-104,Itaberá,SP
Avenida João Simon Solla,Jardim Santa Ines VI,18443-106,Itaberá,SP
Rua Hortênsia,Jardim Santa Ines VI,18443-110,Itaberá,SP
Rua Ipês,Jardim Santa Ines VI,18443-112,Itaberá,SP
Rua I,Jardim Santa Ines VI,18443-114,Itaberá,SP
Rodovia Pedro Mariano de Oliveira,Jardim Santa Ines VI,18443-119,Itaberá,SP
Rua Joana Francisca Simon Sola,Residencial Canadá,18443-120,Itaberá,SP
Rua das Margaridas,Residencial Canadá,18443-121,Itaberá,SP
Rua José Cilico Gonçalves,Residencial Canadá,18443-124,Itaberá,SP
Rua São Judas Tadeu,Residencial Canadá,18443-126,Itaberá,SP
Rua Paulinho Lobo de Freitas,Residencial Canadá,18443-128,Itaberá,SP
Rua Anna da Veiga e Souza Gomes,Residencial Canadá,18443-130,Itaberá,SP
Rua José Barbosa Tristão,Residencial Canadá,18443-132,Itaberá,SP
Rua João Batista Cerdeira,Residencial Canadá,18443-134,Itaberá,SP
Rua Lázaro dos Santos,Residencial Canadá,18443-136,Itaberá,SP
Rua Roque Lima,Chácara Santa Elisa,18443-140,Itaberá,SP
